stateId,year,hdd
FL,2003,774
FL,2002,687
FL,2001,636
FL,2000,722
FL,1999,631
FL,1998,561
FL,1997,580
FL,1996,800
FL,1995,779
FL,1994,537
FL,1993,746
FL,1992,675
FL,1991,549
FL,1990,432
FL,1989,677
FL,1988,799
FL,1987,742
FL,1986,608
FL,1985,790
FL,1984,722
FL,1983,885
FL,1982,510
FL,1981,1046
FL,1980,874
FL,1979,833
FL,1978,922
FL,1977,969
FL,1976,861
FL,1975,575
FL,1974,573
FL,1973,758
FL,1972,559
FL,1971,663
FL,1970,958
FL,1969,1036
FL,1968,1046
FL,1967,628
FL,1966,909
FL,1965,687
FL,1964,750
FL,1963,965
FL,1962,848
FL,1961,714
FL,1960,924
GA,2022,2682
GA,2021,2502
GA,2020,2403
GA,2019,2457
GA,2018,2798
GA,2017,2265
GA,2016,2544
GA,2015,2573
GA,2014,3191
GA,2013,2948
GA,2012,2341
GA,2011,2771
GA,2010,3467
GA,2009,3004
GA,2008,2973
GA,2007,2628
GA,2006,2657
GA,2005,2869
GA,2004,2783
GA,2003,2931
GA,2002,2839
GA,2001,2701
GA,2000,3059
GA,1999,2662
GA,1998,2525
GA,1997,2925
GA,1996,3230
GA,1995,3034
GA,1994,2776
GA,1993,3189
GA,1992,3003
GA,1991,2678
GA,1990,2365
GA,1989,2987
GA,1988,3265
GA,1987,3101
GA,1986,2711
GA,1985,2910
GA,1984,2913
GA,1983,3413
GA,1982,2806
GA,1981,3364
GA,1980,3312
GA,1979,3212
GA,1978,3369
GA,1977,3336
GA,1976,3366
GA,1975,2797
GA,1974,2640
GA,1973,2945
GA,1972,2864
GA,1971,2962
GA,1970,3219
GA,1969,3492
GA,1968,3538
GA,1967,2967
GA,1966,3337
GA,1965,2994
GA,1964,3159
GA,1963,3426
GA,1962,3207
GA,1961,3088
GA,1960,3512
HI,2022,0
HI,2021,13
HI,2020,2
HI,2019,0
HI,2018,1
HI,2017,1
HI,2016,0
HI,2015,0
HI,2014,0
HI,2013,0
HI,2012,0
HI,2011,0
